"year_range","sex","average_deadlift"
"1964-1964","M","238.46"
"1965-1969","M","241.39"
"1970-1974","M","232.62"
"1975-1979","F","112.73"
"1975-1979","M","222.92"
"1980-1984","F","123.76"
"1980-1984","M","220.25"
"1985-1989","F","138.71"
"1985-1989","M","232.56"
"1990-1994","F","138.53"
"1990-1994","M","230.77"
"1995-1999","F","139.25"
"1995-1999","M","230.26"
"2000-2004","F","137.00"
"2000-2004","M","225.93"
"2005-2009","F","134.97"
"2005-2009","M","225.78"
"2010-2014","F","123.86"
"2010-2014","M","201.58"
"2015-2019","F","125.46"
"2015-2019","M","211.99"
"2017-2019","Mx","132.99"
"2020-2023","F","131.60"
"2020-2023","M","213.51"
"2020-2023","Mx","126.29"
